# UPPER A - Lunedì
# Focus: Petto (prevalente) · Schiena · Bicipiti · Spalle (laterale)
# Riscaldamento: Rotazioni spalle avanti/indietro 2×15 | Wall slides 2×10 | Facepull elastico 2×12
# Ramp-up ogni esercizio principale: 50%×12 → 70%×8 → 90%×3 → poi serie vere

Esercizio | Serie | Rip | Recupero | Note tecniche
Panca piana con bilanciere | 4 | 8-10 | 90 | Busto stabile, piedi a terra. Fase negativa 2s. Espi in spinta. Muscoli: grande pettorale, deltoide ant., tricipite.
Panca inclinata con manubri (30°) | 4 | 10-12 | 90 | 30° inclinazione. Arco verso il centro in cima. Controlla la discesa. Muscoli: pettorale superiore, deltoide anteriore.
Croci ai cavi bassi (chest fly) | 3 | 12-15 | 75 | Busto leggermente avanti. Gomito con angolo fisso. Senti l'allungamento al centro. Muscoli: pettorale medio.
Dips alle parallele | 3 | 8-12 | 90 | Busto inclinato avanti per enfatizzare il petto. Scendi fino a 90° al gomito. Espi in spinta. Muscoli: pettorale inferiore, tricipite.
Lat machine presa larga (pull-down) | 4 | 10-12 | 90 | Tira verso il petto. Scapole che scendono prima delle braccia. Busto leggermente indietro. Muscoli: gran dorsale, bicipite, romboidi.
Rematore con manubrio su panca (1 braccio) | 3 | 10-12 | 75 | Schiena parallela. Tira il gomito verso il soffitto. Nessuna rotazione. Muscoli: dorsale, teres major, bicipite.
Alzate laterali con manubri | 3 | 12-15 | 75 | Gomiti leggermente flessi. Solleva lateralmente fino all'altezza delle spalle, NON oltre. Movimento lento. Muscoli: deltoide mediale.
Curl con bilanciere EZ | 3 | 10-12 | 75 | Gomiti fissi ai fianchi. Solleva espirando, abbassa in 3s. No momentum. Muscoli: bicipite brachiale.
Curl con manubri alternati (martello) | 3 | 10-12 | 75 | Presa neutrale. Curla alternando. Muscoli: bicipite, brachioradiale.

# Alternative a casa per UPPER A
# Panca piana → Push-up zavorrati / Push-up con piedi rialzati
# Panca inclinata → Push-up con piedi su sedia
# Croci cavi → Croci con elastico / Chest squeeze con cuscino
# Dips → Dips su sedia
# Lat machine → Trazioni / Inverted row su tavolo
# Rematore → Row con zaino zavorrato / Elastico
# Alzate laterali → Alzate con bottiglie d'acqua / elastico
# Curl EZ → Curl con bottiglie / elastico
# Curl martello → Curl neutrale con bottiglie

# Stretching finale (8-10 min)
# PETTO: Chest opener sdraiato 60" · Cobra passivo prono 40" · Mani intrecciate dietro schiena 30"
